CO_OCI,CO_CBO
0901010014,225250
0901010014,225255
0901010049,225285
0901010057,225250
0901010073,225165
0901010073,225225
0901010081,225165
0901010081,225225
0901010081,225280
0901010090,225250
0901010090,225255
0901010103,225250
0901010103,225255
0901010111,225148
0901010111,225225
0901010111,225250
0901010111,225305
0901010120,225148
0901010120,225225
0901010120,225250
0901010120,225305
0902010018,225120
0902010026,225120
0902010034,225120
0902010042,225120
0902010050,225120
0902010069,225120
0903010011,225270
0903010020,225270
0903010038,225270
0903010046,225270
0904010015,225275
0904010023,225275
0904010031,225275
0905010019,225265
0905010027,225265
0905010035,225265
0905010043,225265
0905010051,225265
0905010060,225265
0905010078,225265
0906010012,225250
0906010020,225250
0906010039,225250
0906010047,225250
0906010055,225250
