CO_OCI,CO_CID
0901010014,C50
0901010014,D05
0901010014,D24
0901010014,D486
0901010014,N60
0901010014,N61
0901010014,N62
0901010014,N63
0901010014,N64
0901010049,C61
0901010049,D291
0901010049,D400
0901010049,N40
0901010049,N41
0901010049,N42
0901010057,C53
0901010057,D06
0901010057,N87
0901010057,N88
0901010073,C16
0901010073,D00
0901010073,D13
0901010073,D37
0901010073,K20
0901010073,K21
0901010073,K22
0901010073,K23
0901010073,K25
0901010073,K26
0901010073,K27
0901010073,K28
0901010073,K29
0901010073,K30
0901010073,K31
0901010081,C17
0901010081,C18
0901010081,C19
0901010081,C20
0901010081,C21
0901010081,D01
0901010081,D12
0901010081,K62
0901010081,K63
0901010090,C50
0901010090,D05
0901010090,D24
0901010090,D486
0901010090,N60
0901010090,N61
0901010090,N62
0901010090,N63
0901010090,N64
0901010103,C50
0901010103,D05
0901010103,D24
0901010103,D486
0901010103,N60
0901010103,N61
0901010103,N62
0901010103,N63
0901010103,N64
0901010111,C53
0901010111,D06
0901010111,N87
0901010111,N88
0901010120,C53
0901010120,D06
0901010120,N87
0901010120,N88
0902010018,Z136
0902010018,Z848
0902010026,Z136
0902010026,Z848
0902010034,I00
0902010034,I01
0902010034,I02
0902010034,I05
0902010034,I06
0902010034,I07
0902010034,I08
0902010034,I09
0902010034,I10
0902010034,I11
0902010034,I12
0902010034,I13
0902010034,I15
0902010034,I20
0902010034,I21
0902010034,I22
0902010034,I23
0902010034,I24
0902010034,I25
0902010034,I26
0902010034,I27
0902010034,I28
0902010034,I30
0902010034,I31
0902010034,I32
0902010034,I33
0902010034,I34
0902010034,I35
0902010034,I36
0902010034,I37
0902010034,I38
0902010034,I39
0902010034,I40
0902010034,I41
0902010034,I42
0902010034,I43
0902010034,I44
0902010034,I45
0902010034,I46
0902010034,I47
0902010034,I48
0902010034,I49
0902010034,I50
0902010034,I51
0902010034,I52
0902010034,I60
0902010034,I61
0902010034,I62
0902010034,I63
0902010034,I64
0902010034,I65
0902010034,I66
0902010034,I67
0902010034,I68
0902010034,I69
0902010034,I70
0902010034,I71
0902010034,I72
0902010034,I73
0902010034,I74
0902010034,I77
0902010034,I78
0902010034,I79
0902010034,I80
0902010034,I81
0902010034,I82
