CO_OCI,CO_PROCEDIMENTO,TP_COMPATIBILIDADE,OBRIGATORIO_ALTERNATIVO
0901010014,0204030030,5,
0901010014,0205020097,1,
0901010014,0301010072|225250,5,consulta
0901010014,0301010072|225255,5,consulta
0901010014,0301010307|225250,5,consulta
0901010014,0301010307|225255,5,consulta
0901010049,0201010410,5,
0901010049,0203020030,5,
0901010049,0205020119,5,
0901010049,0301010072|225285,5,consulta
0901010049,0301010307|225285,5,consulta
0901010057,0201010666,5,
0901010057,0203020081,5,
0901010057,0211040029,1,
0901010057,0301010072|225250,5,consulta
0901010057,0301010307|225250,5,consulta
0901010073,0203020030,1,
0901010073,0209010037,5,
0901010073,0301010072|225165,5,consulta
0901010073,0301010072|225225,5,consulta
0901010073,0301010307|225165,5,consulta
0901010073,0301010307|225225,5,consulta
0901010081,0203020030,1,
0901010081,0209010029,5,
0901010081,0301010072|225280,5,consulta
0901010081,0301010072|225225,5,consulta
0901010081,0301010072|225165,5,consulta
0901010081,0301010307|225165,5,consulta
0901010081,0301010307|225280,5,consulta
0901010081,0301010307|225225,5,consulta
0901010090,0201010569,1,
0901010090,0201010585,5,
0901010090,0203010043,5,
0901010090,0301010072|225250,5,consulta
0901010090,0301010072|225255,5,consulta
0901010090,0301010307|225250,5,consulta
0901010090,0301010307|225255,5,consulta
0901010103,0201010569,1,
0901010103,0201010607,5,
0901010103,0203020065,5,
0901010103,0301010072|225250,5,consulta
0901010103,0301010072|225255,5,consulta
0901010103,0301010307|225255,5,consulta
0901010103,0301010307|225250,5,consulta
0901010111,0203020022,5,
0901010111,0211040029,1,
0901010111,0301010072|225148,5,consulta
0901010111,0301010072|225225,5,consulta
0901010111,0301010072|225250,5,consulta
0901010111,0301010072|225305,5,consulta
0901010111,0301010307|225250,5,consulta
0901010111,0301010307|225148,5,consulta
0901010111,0301010307|225305,5,consulta
0901010111,0301010307|225225,5,consulta
0901010111,0409060089|225305,5,
0901010111,0409060089|225148,5,
0901010111,0409060089|225250,5,
0901010111,0409060089|225225,5,
0901010120,0203020022,5,
0901010120,0211040029,1,
0901010120,0301010072|225305,5,consulta
0901010120,0301010072|225250,5,consulta
0901010120,0301010072|225148,5,consulta
0901010120,0301010072|225225,5,consulta
0901010120,0409060305|225305,5,
0901010120,0409060305|225148,5,
0901010120,0409060305|225225,5,
0901010120,0409060305|225250,5,
0902010018,0202010279,1,
0902010018,0202010287,1,
0902010018,0202010295,1,
0902010018,0202010317,1,
0902010018,0202010473,1,
0902010018,0202010503,1,
0902010018,0202010600,1,
0902010018,0202010635,1,
0902010018,0202010643,1,
0902010018,0202010651,1,
0902010018,0202010678,1,
0902010018,0202010694,1,
0902010018,0202020380,1,
0902010018,0204030153,1,
0902010018,0211020036,5,
0902010018,0301010072|225120,5,consulta
0902010018,0301010307|225120,5,consulta
0902010026,0202010279,1,
0902010026,0202010287,1,
0902010026,0202010295,1,
0902010026,0202010317,1,
0902010026,0202010473,1,
0902010026,0202010503,1,
0902010026,0202010600,1,
0902010026,0202010635,1,
0902010026,0202010643,1,
0902010026,0202010651,1,
0902010026,0202010678,1,
0902010026,0202010694,1,
0902010026,0202020380,1,
0902010026,0205010032,1,
0902010026,0211020036,5,
0902010026,0301010072|225120,5,consulta
0902010026,0301010307|225120,5,consulta
0902010034,0202010279,1,
0902010034,0202010287,1,
0902010034,0202010295,1,
0902010034,0202010317,1,
0902010034,0202010473,1,
0902010034,0202010503,1,
0902010034,0202010600,1,
0902010034,0202010635,1,
0902010034,0202010643,1,
0902010034,0202010651,1,
0902010034,0202010678,1,
0902010034,0202010694,1,
0902010034,0202020380,1,
0902010034,0205010032,1,
0902010034,0211020036,5,
0902010034,0211020060,5,
0902010034,0301010072|225120,5,consulta
0902010034,0301010307|225120,5,consulta
0902010042,0205010016,5,
0902010042,0301010072|225120,5,consulta
0902010042,0301010307|225120,5,consulta
0902010050,0208010025,5,
0902010050,0208010033,5,
0902010050,0301010072|225120,5,consulta
0902010050,0301010307|225120,5,consulta
0902010069,0202010279,1,
0902010069,0202010287,1,
0902010069,0202010295,1,
0902010069,0202010317,1,
0902010069,0202010473,1,
0902010069,0202010503,1,
0902010069,0202010600,1,
0902010069,0202010635,1,
0902010069,0202010643,1,
0902010069,0202010651,1,
0902010069,0202010678,1,
0902010069,0202010694,1,
0902010069,0202010791,5,
0902010069,0202020380,1,
0902010069,0205010032,1,
0902010069,0211020036,5,
0902010069,0211020044,5,
0902010069,0211020060,5,
0902010069,0301010072|225120,5,consulta
0902010069,0301010307|225120,5,consulta
0903010011,0204020034,5,exame
0903010011,0204020042,5,exame
0903010011,0204020077,5,exame
0903010011,0204020085,5,exame
0903010011,0204020093,5,exame
0903010011,0204020107,5,exame
0903010011,0204020131,5,exame
0903010011,0204040035,5,exame
0903010011,0204040078,5,exame
0903010011,0204040094,5,exame
0903010011,0204040116,5,exame
0903010011,0204040124,5,exame
0903010011,0204060060,5,exame
0903010011,0204060095,5,exame
0903010011,0204060109,5,exame
0903010011,0204060125,5,exame
0903010011,0204060133,5,exame
0903010011,0204060141,5,exame
0903010011,0204060150,5,exame
0903010011,0204060176,5,exame
0903010011,0301010072|225270,5,consulta
0903010011,0301010307|225270,5,consulta
0903010020,0204020034,1,
0903010020,0204020042,1,
0903010020,0204020077,1,
0903010020,0204020085,1,
0903010020,0204020093,1,
0903010020,0204020107,1,
0903010020,0204020131,1,
0903010020,0204040035,1,
0903010020,0204040078,1,
0903010020,0204040094,1,
0903010020,0204040116,1,
0903010020,0204040124,1,
0903010020,0204060060,1,
0903010020,0204060095,1,
0903010020,0204060109,1,
0903010020,0204060125,1,
0903010020,0204060133,1,
0903010020,0204060141,1,
0903010020,0204060150,1,
0903010020,0204060176,1,
0903010020,0205020062,5,
0903010020,0301010072|225270,5,consulta
0903010020,0301010307|225270,5,consulta
0903010038,0204020034,1,
0903010038,0204020042,1,
0903010038,0204020077,1,
0903010038,0204020085,1,
0903010038,0204020093,1,
0903010038,0204020107,1,
0903010038,0204020131,1,
0903010038,0204040035,1,
0903010038,0204040078,1,
0903010038,0204040094,1,
0903010038,0204040116,1,
0903010038,0204040124,1,
0903010038,0204060060,1,
0903010038,0204060095,1,
0903010038,0204060109,1,
0903010038,0204060125,1,
